[15 | 89.30] loss=3.70 avg=2.90 [16 | 95.25] loss=2.88 avg=2.89
[17 | 101.18] loss=2.82 avg=2.89
[84 | 487.95] loss=3.33 avg=2.91
[85 | 493.71] loss=2.57 avg=2.91
[86 | 499.49] loss=3.11 avg=2.91
[87 | 505.25] loss=3.68 avg=2.93
[88 | 511.00] loss=2.68 avg=2.92
[89 | 516.78] loss=2.77 avg=2.92
[90 | 522.55] loss=2.42 avg=2.91
[91 | 528.32] loss=2.59 avg=2.90
[92 | 534.09] loss=3.21 avg=2.91
[93 | 539.86] loss=2.72 avg=2.91
[94 | 545.63] loss=2.98 avg=2.91
[95 | 551.39] loss=3.51 avg=2.92
[96 | 557.15] loss=2.67 avg=2.91
[97 | 562.92] loss=2.94 avg=2.91
[98 | 568.70] loss=2.20 avg=2.90
[99 | 574.47] loss=2.91 avg=2.90
Generating samples...
======== SAMPLE 1 ========
  is the right type? The answer is yes, but I wonder where a certain class of people are interested in them? Perhaps they are interested in this kind of thing, that is, as a class of people who are also interested in it. Or perhaps there are a certain class of people that just want the right kind of place. That are interested in it, and that is the right kind of place to settle. But as it is in some ways a very different class of people, I don't know when the right place is. I know that I am in an entirely different class, and that class is quite young. I don't know where that is. There are a lot of people with that kind of people with a desire to live and work in this kind of world. If someone were to move around and move as much as he could, maybe a great house in this kind of world would be built in it. But that is not what they are seeking. I doubt whether that person is one who is interested in this kind of country. If he were, who is the person, what would he do? He would have to do what he is doing right. I don't know. That is one of the problems with what I am trying to do. If I were to want to get rid of all this matter, I could use the money there. So that is my problem. I mean that I am here, I am a farmer now, I am in the kitchen. There is nobody that I could have been doing more good for myself, or who would have given more to me. What would have happened if I had kept doing what I was doing? I would have been so much better off if I didn't keep doing things right, and that is the problem. But it is not clear that it is the right way to do things. I would like to know. Of course, if you asked me how I feel about a situation where I have been involved in it, there would have been a very different answer. Maybe we can help each other. So then what is the problem? Why are you interested in this place? Then it seems to me that nobody is making any demands at all. If you can get some people out of this country, you don't have to work very hard. You just get a job, whatever, and that is what this country is about. Then what will the country look like? What will you do. All I have to say is: I wonder how we all might be able to help each other.<|endoftext|>The world's most powerful bank is using this time to help the world's best athletes get better at football, as seen in the video below where a player in Brazil is asked to take a knee in front of another player. While this has a nice amount of attention on video, what really goes on in Brazil isn't as well known.

A year ago, the world's most powerful bank, the World Rugby Union of Brazil was already trying to get a few players to play in their respective sports. The goal of the program was to see if the world's most powerful and well-known athlete was good enough to be named as the World's Most Important Footballer. It certainly was not.

While one might question the merits of that effort, there were two ways to get players and teams that represented that country's best. One way, was to see just how much the athletes and teams looked like the men and women who wore uniforms on their jersey. The other, was to use a different approach. So we asked our readers, who helped shape the world's most populous sports league and the most prestigious sport in the world, who would come up with the most famous words. Here are their words and the answers to your question.

Famous for their size, the most famous sports leagues and sporting organizations in the world.

One of my favorite words is "flamboyant." The Flemish fandoms, of course. The fandoms are also known for using very small heads.

If you watch this video, you will see a pair of big, big heads. The fandoms have really big heads. You will also see the fandoms with beautiful arms. They have tiny shoulders. As I read this, one of the fandoms' shoulders was very big. The fandoms also have a small chin.

This is a funny thing to say. One team, for example, looked like they were about the size of men's bobsleds. The other team, which was about the size of men's tennis, looked like they had too much hair. Some of the fandoms and the other fandoms have big shoulders. The size was also very small. So, it was not a big deal.

They said, "They're a bit short." Then we added the word "bobbles" or "bubbly." That was very clever.

After the second

[100 | 636.01] loss=2.79 avg=2.90
[101 | 641.75] loss=2.77 avg=2.90
[102 | 647.50] loss=3.00 avg=2.90
[103 | 653.26] loss=3.32 avg=2.91
[104 | 659.06] loss=2.85 avg=2.91
[105 | 664.84] loss=2.87 avg=2.91
[106 | 670.66] loss=3.07 avg=2.91
[107 | 676.56] loss=3.17 avg=2.91
[108 | 682.52] loss=2.70 avg=2.91
[109 | 688.27] loss=3.03 avg=2.91
[110 | 694.00] loss=2.60 avg=2.91
[111 | 699.78] loss=2.64 avg=2.90
[112 | 705.58] loss=3.43 avg=2.91
[113 | 711.34] loss=2.24 avg=2.90
[114 | 717.10] loss=3.78 avg=2.91
[115 | 722.86] loss=2.51 avg=2.91
[116 | 728.60] loss=2.60 avg=2.90
[117 | 734.36] loss=2.55 avg=2.90
[118 | 740.13] loss=2.80 avg=2.90
[119 | 745.88] loss=3.33 avg=2.90
[120 | 751.67] loss=3.21 avg=2.91
[121 | 757.43] loss=3.23 avg=2.91
[122 | 763.19] loss=2.68 avg=2.91
[123 | 768.95] loss=3.34 avg=2.91
[124 | 774.70] loss=2.68 avg=2.91
[125 | 780.50] loss=2.75 avg=2.91
[126 | 786.29] loss=3.11 avg=2.91
[127 | 792.04] loss=2.77 avg=2.91
[128 | 797.83] loss=3.48 avg=2.92
[129 | 803.59] loss=3.24 avg=2.92
[130 | 809.34] loss=2.83 avg=2.92
[131 | 815.05] loss=2.42 avg=2.91
[132 | 820.80] loss=2.51 avg=2.91
[133 | 826.56] loss=2.62 avg=2.90
[134 | 832.30] loss=2.38 avg=2.90
[135 | 838.05] loss=2.79 avg=2.90
[136 | 843.82] loss=3.75 avg=2.91
[137 | 849.55] loss=3.44 avg=2.91
[138 | 855.37] loss=2.82 avg=2.91
[139 | 861.11] loss=2.93 avg=2.91
[140 | 866.89] loss=2.78 avg=2.91
[141 | 872.63] loss=2.76 avg=2.91
[142 | 878.38] loss=2.70 avg=2.91
[143 | 884.11] loss=2.63 avg=2.90
[144 | 889.87] loss=2.86 avg=2.90
[145 | 895.65] loss=2.52 avg=2.90
[146 | 901.43] loss=2.44 avg=2.89
[147 | 907.20] loss=2.46 avg=2.89
[148 | 912.97] loss=3.05 avg=2.89
[149 | 918.73] loss=2.55 avg=2.88
[150 | 924.50] loss=3.55 avg=2.89
[151 | 930.26] loss=2.72 avg=2.89
[152 | 936.04] loss=3.07 avg=2.89
[153 | 941.79] loss=2.84 avg=2.89
[154 | 947.60] loss=2.96 avg=2.89
[155 | 953.34] loss=3.03 avg=2.89
[156 | 959.08] loss=3.07 avg=2.90
[157 | 964.88] loss=2.81 avg=2.90
[158 | 970.73] loss=2.78 avg=2.89
[159 | 976.68] loss=2.57 avg=2.89
[160 | 982.43] loss=2.64 avg=2.89
[161 | 988.19] loss=2.66 avg=2.88
[162 | 993.96] loss=2.93 avg=2.88
[163 | 999.75] loss=3.25 avg=2.89
[164 | 1005.52] loss=2.56 avg=2.89
[165 | 1011.26] loss=2.81 avg=2.88
[166 | 1017.04] loss=3.10 avg=2.89
[167 | 1022.78] loss=2.68 avg=2.88
[168 | 1028.56] loss=3.54 avg=2.89
[169 | 1034.32] loss=2.71 avg=2.89
[170 | 1040.12] loss=2.73 avg=2.89
[171 | 1046.02] loss=2.93 avg=2.89
[172 | 1051.80] loss=2.53 avg=2.88
[173 | 1057.55] loss=2.82 avg=2.88
[174 | 1063.37] loss=2.53 avg=2.88
[175 | 1069.15] loss=2.65 avg=2.88
[176 | 1074.89] loss=2.39 avg=2.87
[177 | 1080.70] loss=2.71 avg=2.87
[178 | 1086.50] loss=3.14 avg=2.87
[179 | 1092.24] loss=2.62 avg=2.87
[180 | 1098.01] loss=3.42 avg=2.88
[181 | 1103.76] loss=3.29 avg=2.88
[182 | 1109.51] loss=3.78 avg=2.89
[183 | 1115.25] loss=2.50 avg=2.89
[184 | 1121.03] loss=2.27 avg=2.88
[185 | 1126.84] loss=2.92 avg=2.88
[186 | 1132.60] loss=2.70 avg=2.88
[187 | 1138.39] loss=3.06 avg=2.88
[188 | 1144.14] loss=3.68 avg=2.89
[189 | 1149.89] loss=3.72 avg=2.90
[190 | 1155.64] loss=3.24 avg=2.90
[191 | 1161.43] loss=2.87 avg=2.90
[192 | 1167.20] loss=2.77 avg=2.90
[193 | 1172.96] loss=2.68 avg=2.90
[194 | 1178.71] loss=3.77 avg=2.91
[195 | 1184.50] loss=3.24 avg=2.91
[196 | 1190.28] loss=2.47 avg=2.91
[197 | 1196.00] loss=3.75 avg=2.92
[198 | 1201.77] loss=2.88 avg=2.92
[199 | 1207.53] loss=3.61 avg=2.93
Generating samples...
======== SAMPLE 1 ========
 was even more curious than usual to see the little beast. But as he did not speak the word and was so perplexed that he had to give each word off as truth, we had to carry him out on his way. His horse and the little man quickly got off. So we rode with him. He was very good-natured to one side, and with good feeling said that he would never again take our cross; and so we took the cross of the little beast out of the way, and when we arrived he sat and ate at his own table, and so we got rid of him without any trouble, till the hour was dawn. But he seemed to not eat for a time, and at the appointed hour he said: "Come, come, and have some more of this, that it may be eaten in the morning." Then came the cross to him, and said: "Give it to me, and I will eat it." Then we took off, and the little beast ate our cross without trouble, and so we went out with him and took it. He then took off the cross, and did as he liked. However, for the first time, he ate the cross, and it ate at night, and it still ate at this time, till then he wore a cloak over their heads, and carried the cross, and ate a little piece of the ground that he had left on top of it, and so he went along with his horses, with his eyes open all the way, and with one ear closed, and with a second one of his own, and so we rode fast along; and at the appointed time it would turn into a mountain, and go to bed, but if he did not sleep, he would be asleep, and so we were very happy, for he had to take a little bit of it with him, and we had to carry it through the evening. Then we took a little piece of the ground, and we took off our cross, and the old man ate the cross for an hour, and the horse then took it out of the way, and the old fool was the first to eat it, and then we rode as fast as we could, and carried it through the afternoon, and slept till late one o'clock. So it was as if we were going to sleep, and when we awoke, our horses and the little beast ate their supper at the appointed hour, and the old man was the first to go up into the sky, and eat a loaf of bread, and we ate it. So we rode along with them, to the end of the mountain, thinking: "This is our night, and all is lost, now let us sleep on our journey home." Soon after that we went away, and we took the little beast out of the way, and slept with him in the night. But our horse was the first to take our cross back, and after our journey home, we took his cross to eat again, and slept long, and took off our cross, when we came to twilight. At the appointed time the old man took the cross and took off our cross, and when we awoke he ate at his own table, till the hour was dawn. But he seemed to not eat this very long time, and when we came for the cross we slept on the ground, but he never ate it. Then we took the cross out of the way, and we followed him until dawn. We took off his cross in the morning, and when we were about midnight he took him away; and at the appointed time he took his cross, and we went on our way to a far country, where, when we were about midnight we came to a great cave, with a great number of animals and one or two strange beasts sitting on it. As he sat there at night, watching for his prey, he said: "You know that I am a man who, sitting on a tree above a stream, has not stopped, which means that I am not looking at water to drink, and I have neither the time nor the body to swim, which means I am a poor man who does not pay attention, and I have no money, which means that I am not thinking of anything to eat, which means that I am a poor man that does not care for something, and I do not care for anything to drink, which means that I am a poor man that does not care for something that is not of his body, which means that I am not feeling anything in my head to drink, and I have no idea how much money this rich man has, and he has nothing to drink." Therefore he said to the others, "You tell me your own opinion, then you all are mistaken, and that I am a poor person." So they said to him, "Then it means you don't need to know, that you know this, and that my opinion is my own." So they said to him, "You tell me that my opinion and mine is mine,

[200 | 1268.12] loss=2.54 avg=2.92
[201 | 1273.88] loss=3.53 avg=2.93
[202 | 1279.58] loss=3.13 avg=2.93
[203 | 1285.31] loss=3.12 avg=2.93
[204 | 1291.06] loss=2.57 avg=2.93
[205 | 1296.78] loss=2.68 avg=2.93
[206 | 1302.55] loss=3.20 avg=2.93
[207 | 1308.30] loss=2.85 avg=2.93
[208 | 1314.05] loss=3.15 avg=2.93
[209 | 1319.81] loss=2.66 avg=2.93
[210 | 1325.54] loss=3.32 avg=2.93
[211 | 1331.29] loss=3.65 avg=2.94
[212 | 1337.05] loss=2.53 avg=2.93
[213 | 1342.81] loss=3.70 avg=2.94
[214 | 1348.54] loss=2.78 avg=2.94
[215 | 1354.32] loss=2.82 avg=2.94
[216 | 1360.08] loss=3.13 avg=2.94
[217 | 1365.83] loss=3.48 avg=2.95
[218 | 1371.53] loss=2.52 avg=2.94
[219 | 1377.28] loss=2.72 avg=2.94
[220 | 1383.01] loss=2.02 avg=2.93
[221 | 1388.76] loss=2.66 avg=2.93
[222 | 1394.50] loss=3.26 avg=2.93
[223 | 1400.24] loss=2.77 avg=2.93
[224 | 1405.98] loss=2.07 avg=2.92
[225 | 1411.71] loss=2.68 avg=2.92
[226 | 1417.44] loss=3.07 avg=2.92
[227 | 1423.18] loss=3.65 avg=2.93
[228 | 1428.91] loss=3.08 avg=2.93
[229 | 1434.64] loss=2.64 avg=2.93
[230 | 1440.38] loss=3.66 avg=2.93
[231 | 1446.15] loss=2.66 avg=2.93
[232 | 1451.89] loss=3.17 avg=2.93
[233 | 1457.63] loss=2.99 avg=2.93
[234 | 1463.39] loss=2.77 avg=2.93
[235 | 1469.15] loss=2.73 avg=2.93
[236 | 1474.90] loss=2.88 avg=2.93
[237 | 1480.67] loss=3.18 avg=2.93
[238 | 1486.43] loss=2.73 avg=2.93
[239 | 1492.18] loss=3.21 avg=2.93
[240 | 1497.89] loss=2.69 avg=2.93
[241 | 1503.65] loss=3.22 avg=2.93
[242 | 1509.38] loss=2.66 avg=2.93
[243 | 1515.17] loss=2.70 avg=2.93
[244 | 1520.91] loss=3.17 avg=2.93
[245 | 1526.64] loss=2.54 avg=2.93
[246 | 1532.40] loss=3.26 avg=2.93
[247 | 1538.23] loss=2.53 avg=2.93
[248 | 1543.98] loss=2.90 avg=2.93
[249 | 1549.76] loss=2.40 avg=2.92
[250 | 1555.53] loss=2.61 avg=2.92
[251 | 1561.30] loss=2.92 avg=2.92
[252 | 1567.06] loss=3.35 avg=2.92
[253 | 1572.78] loss=2.80 avg=2.92
[254 | 1578.55] loss=2.51 avg=2.92
[255 | 1584.29] loss=2.29 avg=2.91
[256 | 1590.04] loss=2.83 avg=2.91
[257 | 1595.77] loss=2.71 avg=2.91
[258 | 1601.52] loss=2.52 avg=2.90
[259 | 1607.27] loss=2.71 avg=2.90
[260 | 1613.04] loss=2.06 avg=2.89
[261 | 1618.79] loss=2.45 avg=2.89
[262 | 1624.55] loss=2.75 avg=2.88
[263 | 1630.30] loss=3.30 avg=2.89
[264 | 1636.08] loss=2.34 avg=2.88
[265 | 1641.85] loss=3.89 avg=2.89
[266 | 1647.59] loss=2.88 avg=2.89
[267 | 1653.35] loss=2.62 avg=2.89
[268 | 1659.08] loss=2.98 avg=2.89
[269 | 1664.81] loss=2.73 avg=2.89
[270 | 1670.60] loss=2.70 avg=2.89
[271 | 1676.33] loss=3.39 avg=2.89
[272 | 1682.10] loss=3.35 avg=2.90
[273 | 1687.84] loss=2.29 avg=2.89
[274 | 1693.60] loss=2.71 avg=2.89
[275 | 1699.33] loss=3.16 avg=2.89
[276 | 1705.10] loss=2.93 avg=2.89
[277 | 1710.84] loss=2.78 avg=2.89
[278 | 1716.61] loss=2.76 avg=2.89
[279 | 1722.36] loss=1.85 avg=2.88
[280 | 1728.13] loss=1.75 avg=2.87
[281 | 1733.88] loss=2.79 avg=2.87
[282 | 1739.65] loss=2.51 avg=2.86
[283 | 1745.41] loss=2.23 avg=2.86
[284 | 1751.15] loss=2.33 avg=2.85
[285 | 1756.92] loss=2.86 avg=2.85
[286 | 1762.70] loss=2.82 avg=2.85
[287 | 1768.45] loss=3.52 avg=2.86
[288 | 1774.18] loss=2.90 avg=2.86
[289 | 1779.95] loss=4.01 avg=2.87
[290 | 1785.68] loss=2.49 avg=2.87
[291 | 1791.41] loss=2.24 avg=2.86
[292 | 1797.15] loss=2.64 avg=2.86
[293 | 1802.90] loss=3.23 avg=2.86
[294 | 1808.64] loss=2.05 avg=2.85
[295 | 1814.39] loss=3.00 avg=2.85
[296 | 1820.14] loss=2.94 avg=2.85
[297 | 1825.91] loss=2.36 avg=2.85
[298 | 1831.66] loss=3.66 avg=2.86
[299 | 1837.41] loss=2.77 avg=2.86
Generating samples...
======== SAMPLE 1 ========
Cow on to the deck. The young fellows got to the top and sat down. A little fish in a basket and a big cat, the big cat. 

"You must give up your sword and bow," said the boy for a moment with a grimace. 

"No such thing as that," said the fish. "They are just your comrades." 

"If not you, then it is not true," said the little cat, raising a little paw at the fish. "I am a fellow, you know I am not a fellow; but why would I try?" 

"This is very ill-treating," replied the fish, "and you are a fellow." 

Now all the fellows sat down down next to each other. 

"We will eat tea and biscuits," said the fish, "and there will be a little bit of tea." They started to walk at once, and at each other a light breeze blew, and they walked till the little fish stood at a little corner of the street to see one of the fellows with his eyes closed and his hand wrapped to one side by a thick scarf on the way, and a thin ribbon hung from one end of the scarf on a little chain of thin rope of silk, and the fish and the little cat followed suit. When they were gone the big cat stopped for a little while at a small house in a poor wood and sat down beside an old woodcutter, who was very old and who liked to laugh, and the old man thought there was some way in, he was sitting there with his big eye on the young fellows. 

Then, with a long sigh, he said to them all: "Tell me, how should I get away from this old house?" 

The fish smiled and said to the old man: "I will go to a little cottage with a stone for the young fellows to sit and eat tea. Tell me, how should I get away out of this old house?" 

The old man said that he would get away by a little step, but his foot would be at a great distance from him, so he set down a little stone in his pocket, and, when he finished, walked to the cottage again. He thought of some way out, and asked the little fish where he could get out of the house. 

The young fellows looked with astonishment at the man who was standing there in a very dirty house, with the stone of which they had seen nothing, and thought no one could carry out the task. Yet the man said of themselves: "I can get away by a little step." A little stone in his pocket and a little foot for the young fellows; but they could not get away till they got a little step to the cottage. Then they sat down beside a little tree and ate tea at the same time. 

At the same time a stone of a little stone came into the cottage as they walked, and the man was thinking a little bit, he wanted to know the little stone, but his foot would be at a large distance from the little man, so he took a little stone into his pocket and put it on the back of his head, and walked on the little man; and, when he came to a little house, with little stairs and a stone that he had never seen, all the young fellows thought he was going back, they all sat down with a little stone, and the little man said: "Tell me, how should I get away out of this house?" 

The water ran up the little tree, and the man thought: "This tree will only bring comfort to some old fellows. But in the name of good fortune it will bring peace to the others; so the old fellows must know that they owe me a debt, that one has to pay." 

And when the man got home, he put the stone in his pocket, lifted up the little man, and walked on the little man. And he thought: "If I had given that old man my horse to have carried a little stone into my pocket, I could have saved myself from my burden." 

As the old man went on with his task, his mind began, and he thought back to his old adventures, all his days, all his nights. He did not want to talk about the little stone that was in the pocket, or that did not contain a little stone of this sort of stone. He thought his own heart would be as glad as his horse. He remembered that he had never been back in his old adventures, but now his journey was begun. He had to think long and hard the little stone: for he now knew the little man and his task. 

One day the little man came to a little window and said: "I saw this little hole in the ground; and the little one behind the window was sitting there staring with his head in the dark

[300 | 1897.92] loss=2.60 avg=2.85
[301 | 1903.69] loss=3.65 avg=2.86
[302 | 1909.43] loss=2.57 avg=2.86
[303 | 1915.17] loss=3.73 avg=2.87
[304 | 1920.90] loss=2.56 avg=2.87
[305 | 1926.68] loss=3.06 avg=2.87
[306 | 1932.44] loss=2.63 avg=2.87
[307 | 1938.22] loss=3.57 avg=2.87
[308 | 1943.99] loss=3.37 avg=2.88
[309 | 1949.73] loss=2.76 avg=2.88
[310 | 1955.49] loss=3.58 avg=2.88
[311 | 1961.26] loss=3.53 avg=2.89
[312 | 1967.03] loss=2.95 avg=2.89
[313 | 1972.80] loss=2.83 avg=2.89
[314 | 1978.56] loss=3.04 avg=2.89
[315 | 1984.33] loss=2.48 avg=2.89
[316 | 1990.07] loss=3.16 avg=2.89
[317 | 1995.84] loss=3.73 avg=2.90
[318 | 2001.58] loss=3.71 avg=2.91
[319 | 2007.36] loss=3.57 avg=2.91
[320 | 2013.09] loss=2.90 avg=2.91
[321 | 2018.84] loss=2.44 avg=2.91
[322 | 2024.61] loss=2.80 avg=2.91
[323 | 2030.34] loss=2.84 avg=2.91
[324 | 2036.12] loss=2.60 avg=2.90
[325 | 2041.87] loss=2.79 avg=2.90
[326 | 2047.62] loss=2.47 avg=2.90
[327 | 2053.41] loss=1.95 avg=2.89
[328 | 2059.15] loss=3.46 avg=2.89
[329 | 2064.90] loss=2.80 avg=2.89
[330 | 2070.69] loss=3.74 avg=2.90
[331 | 2076.43] loss=2.84 avg=2.90
[332 | 2082.22] loss=3.16 avg=2.90
[333 | 2087.94] loss=3.67 avg=2.91
[334 | 2093.76] loss=2.71 avg=2.91
[335 | 2099.58] loss=2.58 avg=2.91
[336 | 2105.33] loss=2.83 avg=2.91
[337 | 2111.06] loss=2.64 avg=2.90
[338 | 2116.84] loss=3.10 avg=2.91
[339 | 2122.62] loss=2.96 avg=2.91
[340 | 2128.38] loss=2.73 avg=2.90
[341 | 2134.14] loss=2.38 avg=2.90
[342 | 2139.91] loss=2.68 avg=2.90
[343 | 2145.67] loss=1.90 avg=2.89
[344 | 2151.48] loss=2.79 avg=2.89
[345 | 2157.23] loss=2.75 avg=2.88
[346 | 2163.00] loss=3.62 avg=2.89
[347 | 2168.76] loss=2.53 avg=2.89
[348 | 2174.51] loss=3.07 avg=2.89
[349 | 2180.27] loss=2.60 avg=2.89
[350 | 2186.02] loss=3.37 avg=2.89
[351 | 2191.78] loss=2.54 avg=2.89
[352 | 2197.55] loss=2.49 avg=2.88
[353 | 2203.31] loss=3.31 avg=2.89
[354 | 2209.05] loss=3.40 avg=2.89
[355 | 2214.80] loss=2.39 avg=2.89
[356 | 2220.54] loss=3.58 avg=2.90
[357 | 2226.30] loss=3.26 avg=2.90
[358 | 2232.06] loss=2.52 avg=2.89
[359 | 2237.82] loss=3.13 avg=2.90
[360 | 2243.56] loss=1.64 avg=2.88
[361 | 2249.29] loss=2.69 avg=2.88
[362 | 2255.04] loss=2.91 avg=2.88
[363 | 2260.80] loss=2.55 avg=2.88
[364 | 2266.57] loss=2.24 avg=2.87
[365 | 2272.35] loss=3.25 avg=2.88
[366 | 2278.13] loss=2.67 avg=2.87
[367 | 2283.91] loss=2.83 avg=2.87
[368 | 2289.67] loss=3.38 avg=2.88
[369 | 2295.41] loss=2.50 avg=2.88
[370 | 2301.17] loss=2.41 avg=2.87
[371 | 2306.92] loss=4.14 avg=2.88
[372 | 2312.67] loss=2.49 avg=2.88
[373 | 2318.48] loss=2.62 avg=2.88
[374 | 2324.24] loss=2.57 avg=2.87
[375 | 2329.99] loss=2.51 avg=2.87
[376 | 2335.73] loss=2.52 avg=2.87
[377 | 2341.49] loss=3.55 avg=2.87
[378 | 2347.23] loss=2.67 avg=2.87
[379 | 2353.01] loss=3.49 avg=2.88
[380 | 2358.75] loss=2.85 avg=2.88
[381 | 2364.50] loss=2.63 avg=2.87
[382 | 2370.27] loss=2.46 avg=2.87
[383 | 2376.04] loss=3.14 avg=2.87
[384 | 2381.78] loss=3.27 avg=2.88
[385 | 2387.56] loss=3.05 avg=2.88
[386 | 2393.33] loss=2.88 avg=2.88
[387 | 2399.10] loss=2.47 avg=2.88
[388 | 2404.84] loss=2.44 avg=2.87
[389 | 2410.58] loss=3.03 avg=2.87
[390 | 2416.33] loss=1.98 avg=2.86
[391 | 2422.10] loss=2.01 avg=2.85
[392 | 2427.86] loss=2.67 avg=2.85
[393 | 2433.63] loss=2.61 avg=2.85
[394 | 2439.41] loss=2.49 avg=2.85
[395 | 2445.18] loss=3.06 avg=2.85
[396 | 2450.96] loss=2.43 avg=2.84
[397 | 2456.79] loss=3.75 avg=2.85
[398 | 2462.58] loss=1.83 avg=2.84
[399 | 2468.39] loss=2.81 avg=2.84
Generating samples...
======== SAMPLE 1 ========
 as more time is given. 

The next morning at breakfast, Muddy was lying down by the wood, in his garden. $Hero was a great gentleman by this time; but in the middle of the afternoon a very strange creature arose in the forest which the $Villain was very sorry to awaken. 

The thought entered his mind immediately; he never knew that the creature had come from the forest and was just a small child, but he knew that there must have been some kind of thing that had come out of the forest, and that it must come with great danger. And then it was not long before the $Villain looked at the child and said, 

"You can tell me the animal; for its mother is in peril, for while it grows, it has the kind of power that only a small child can possess. Tell me the creature. It seems to me that there ought to be something in it that will not hurt or frighten; and if its mother does not die, for she will be able to find the food again and help her to live on as if she had never been in the forest. I have not done anything as cruel as that; but what more I dare say, tell me, whence it comes." 

"You will tell me that you know," said the child. "It does not look like any thing that I have thought of. I have thought about it quite an hour ago; for I have seen little creatures like some of the $Villains; they are almost like children. There are two of them in my garden, and all of them look as if he was a tree. It appears as though they were about to die; but they will live long enough, for they are able to eat anything and can be grown again. In the meantime, when I have finished speaking, I shall have dinner with the $Villain and the $Villain's friends, but I will never, ever tell them anything about it." 

The child said nothing; she only wished that she could say something. 

"Do you want to tell them?" said the $Villain. 

"I am going to call them," said the $Villain. "But they have the power to know what I think of it. If they wish to tell it, I have got it from a tree that is near them; but they can also see what is behind it, if you will help me." 

With this the $Villain said, 

"Let the Tree tell me," 

"The tree is about to die; but you must be careful." 

The $Villain said to her friends, as they were in the forest, that if she did not go out with the young child, they would die. 

"And the child?" said the $Villain. "Do you think it is safe to leave the child here? Would you give my child the right to fly with that tree?" 

"I believe not," said a little girl; she could not help seeing that this was nothing but an awful task. She said that she had made a promise for $Hero, saying that she would not let anyone get on her back and have no part in her death. $Hero thought and did not say anything to her friends; she did not speak to them, and she was so very afraid of the little girl, that when she had gone out to the tree she did not dare to fly again. 

"So you can't fly with the little girl at all; let me know the cause," said the $Villain. 

But the child did not say anything. 

"If I should die," said the $Villain, "I should be sorry for you." 

